ID,job,marital,balance,age,loyalty,subscribed
2712,technician,married,819,40.0,0.4002486660166529,no
6392,blue-collar,married,97,25.0,0.26196125231614154,yes
13725,technician,single,10152,30.0,0.20293180361406915,no
15881,technician,married,-160,33.0,0.31750921892759665,no
20041,management,married,3897,31.0,0.5483037657426144,no
23138,self-employed,married,745,59.0,0.9933768839375295,no
31662,blue-collar,single,712,44.0,0.7768046729269878,yes
22854,services,married,337,,0.05780231403723646,no
35164,admin.,married,448,52.0,0.06990526511290907,no
44994,admin.,single,386,43.0,0.8810300550444344,no
11725,unemployed,married,2135,40.0,0.172243823708345,no
19357,technician,married,129,36.0,0.6547367932101977,no
280,self-employed,married,19,,0.11246120389439129,no
31186,management,married,1147,47.0,0.8563510150656142,no
30759,technician,divorced,-298,,0.2824140465451228,no
10024,housemaid,single,4378,35.0,0.8234685762178726,no
41660,management,divorced,3426,41.0,0.42341505426895476,no
41627,admin.,married,118,,0.31391769475445963,no
36048,blue-collar,married,-217,41.0,0.27283628802706794,no
27495,self-employed,married,254,39.0,0.25424770423144527,no
39015,blue-collar,married,201,34.0,0.5770517344670736,no
39100,self-employed,single,476,29.0,0.297265097616908,yes
31949,management,married,1548,,0.2143087980799172,no
1308,housemaid,married,7317,49.0,0.8917289041693154,no
44664,student,single,2975,,0.677785475290206,yes
1135,blue-collar,married,1,44.0,0.7466469244741549,no
17703,admin.,single,-242,27.0,0.08830188198570954,no
3073,blue-collar,married,348,41.0,0.32164827476391467,no
45046,student,single,316,26.0,0.9386486646942072,no
23668,housemaid,single,71,48.0,0.3837837003226273,no
39916,admin.,single,96,26.0,0.5531457190986615,no
43906,blue-collar,single,322,,0.04349452894783601,yes
10175,blue-collar,single,1780,40.0,0.09734960187484032,no
41133,technician,married,883,58.0,0.6559482790336036,no
43328,technician,single,1976,,0.731596877810195,no
35157,self-employed,single,253,31.0,0.48767855146335337,no
19934,admin.,married,324,43.0,0.2714174982555567,no
24035,management,married,212,,0.5565896538208922,no
8354,blue-collar,single,-360,39.0,0.5113156548360855,no
2602,technician,married,3790,44.0,0.3278155018425639,no
8911,blue-collar,single,3342,26.0,0.704492102037303,no
44094,services,married,657,,0.6227261546591064,yes
1052,blue-collar,married,-15,41.0,0.5380327991986896,no
4246,blue-collar,married,3722,,0.8671532957603028,no
37068,technician,single,2151,36.0,0.8300142590376114,no
6856,blue-collar,married,529,33.0,0.7705481170376813,no
10086,technician,married,3007,45.0,0.611012452592835,no
19031,technician,divorced,1533,42.0,0.44658825580050543,no
6227,blue-collar,single,619,26.0,0.5278272676026504,no
40747,admin.,married,0,,0.8969940145605566,no
13576,management,single,3872,,0.6204169587207313,no
39302,blue-collar,married,503,40.0,0.9787898913544724,no
28280,admin.,single,135,,0.4829786034337453,no
14076,admin.,divorced,1139,47.0,0.024093944269806156,no
9672,self-employed,married,1245,36.0,0.04725765029257345,yes
4865,blue-collar,single,3773,,0.3958383919620173,no
14241,services,divorced,935,,0.1682869958755342,no
32825,blue-collar,divorced,-274,33.0,0.44730126749242105,yes
3849,blue-collar,married,169,,0.16512952516394164,no
41129,management,married,10171,70.0,0.02266211841070187,no
10590,technician,divorced,728,52.0,0.9407756829690069,no
44162,technician,single,160,,0.4242425221543322,no
15594,admin.,married,-45,34.0,0.656797636105827,no
25238,management,married,480,,0.8618208921142888,no
10719,management,married,270,40.0,0.8979695969190249,no
